Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.31,symmetric,0.3567143448072014
100% Corpus,6,0.61,0.01,0.38404347543829825
100% Corpus,6,0.61,0.31,0.4235996768944669
100% Corpus,6,0.61,0.61,0.4126593254977446
100% Corpus,6,0.61,0.9099999999999999,0.4151520769031915
100% Corpus,6,0.61,symmetric,0.36145522826444126
100% Corpus,6,0.9099999999999999,0.01,0.39412081974457447
100% Corpus,6,0.9099999999999999,0.31,0.4141821120787668
100% Corpus,6,0.9099999999999999,0.61,0.4476599663171743
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.5435177205896954
100% Corpus,6,0.9099999999999999,symmetric,0.3647741289439849
100% Corpus,6,symmetric,0.01,0.3310116380969798
100% Corpus,6,symmetric,0.31,0.3191282162878464
100% Corpus,6,symmetric,0.61,0.3911577778880941
100% Corpus,6,symmetric,0.9099999999999999,0.5641622352941128
100% Corpus,6,symmetric,symmetric,0.32336232823331196
100% Corpus,6,asymmetric,0.01,0.34876703310170226
100% Corpus,6,asymmetric,0.31,0.5217075544127222
100% Corpus,6,asymmetric,0.61,0.44140401215132213
100% Corpus,6,asymmetric,0.9099999999999999,0.43680389691299965
100% Corpus,6,asymmetric,symmetric,0.4755371958834885
100% Corpus,7,0.01,0.01,0.38872140011539275
100% Corpus,7,0.01,0.31,0.4754858507161641
100% Corpus,7,0.01,0.61,0.4927872283170783
100% Corpus,7,0.01,0.9099999999999999,0.4696734108821407
100% Corpus,7,0.01,symmetric,0.4264318441190081
100% Corpus,7,0.31,0.01,0.37691247657802635
100% Corpus,7,0.31,0.31,0.46759903020910026
100% Corpus,7,0.31,0.61,0.43766384021148247
100% Corpus,7,0.31,0.9099999999999999,0.48324870672111125
100% Corpus,7,0.31,symmetric,0.4608190348057463
100% Corpus,7,0.61,0.01,0.45760507310861626
100% Corpus,7,0.61,0.31,0.5051355282244039
100% Corpus,7,0.61,0.61,0.4742322520448174
100% Corpus,7,0.61,0.9099999999999999,0.4436771124667211
100% Corpus,7,0.61,symmetric,0.4864525038398445
100% Corpus,7,0.9099999999999999,0.01,0.4101747941053335
100% Corpus,7,0.9099999999999999,0.31,0.5020267605706755
100% Corpus,7,0.9099999999999999,0.61,0.4897862078876899
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5027150077620808
100% Corpus,7,0.9099999999999999,symmetric,0.5008784724105325
100% Corpus,7,symmetric,0.01,0.36947647793575683
100% Corpus,7,symmetric,0.31,0.46777876305900445
100% Corpus,7,symmetric,0.61,0.5047266564598286
100% Corpus,7,symmetric,0.9099999999999999,0.4733598057473311
100% Corpus,7,symmetric,symmetric,0.42262847923594776
100% Corpus,7,asymmetric,0.01,0.33565187051959217
